Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Other Felony (Old Code),Violent,Murder/Manslaughter,No
2010.0,2013.0,6JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes
2010.0,2013.0,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,Yes
2010.0,2013.0,7JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No
2010.0,2013.0,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Violent,Assault,No
2010.0,2013.0,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No
2010.0,2013.0,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,35-44,Female,D Felony,Property,Burglary,No
2010.0,2013.0,8JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Traffic,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Theft,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2010.0,2013.0,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Violent,Assault,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Felony - Enhanced,Drug,Trafficking,Yes
2010.0,2013.0,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes
2010.0,2013.0,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes
2010.0,2013.0,4JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Arson,No
2010.0,2013.0,NA,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes
2010.0,2013.0,1JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes
2010.0,2013.0,NA,Discharged – End of Sentence,White - Hispanic,Under 25,Male,Aggravated Misdemeanor,Property,Burglary,No
2010.0,2013.0,3JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes
2010.0,2013.0,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No
2010.0,2013.0,5JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No
2010.0,2013.0,3JD,Parole,White - Hispanic,55 and Older,Female,D Felony,Public Order,OWI,Yes
2010.0,2013.0,5JD,Parole,White - Hispanic,Under 25,Male,C Felony,Property,Burglary,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Burglary,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Hispanic,25-34,Male,D Felony,Property,Burglary,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Violent,Assault,No
2010.0,2013.0,6JD,Parole,White - Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes
2010.0,2013.0,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Burglary,No
2010.0,2013.0,NA,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Burglary,No
2010.0,2013.0,7JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Violent,Sex,No
